Occupation Title,Typical Entry-Level Education,Occupation Code,Employment 2020,Employment 2030,"Employment Change, 2020-2030","Employment Percent Change, 2020-2030","Occupational Openings, 2020-2030 Annual Average",Median Annual Wage 2020,Education Code,Work Experience in a Related Occupation,Workex Code,Typical on-the-job Training,trCode
"Camera operators, television, video, and film    * Cinematographer* Electronic News Gathering Camera Operator* Motion Picture Camera Operator* Movie Shot Camera Operator* News Camera Operator* News Videographer* Television Camera Operator* Video Camera Operator",Bachelor's degree,27-4031,30.3,37.6,7.3,24.1,3.9,"57,200",3,None,4,None,6
Film and video editors    * Cue Selector* Electronic News Gathering Editor* Film Editor* Movie Editor* News Video Editor* News Videotape Editor* Tape Editor* Television News Video Editor* Video Tape Transferrer,Bachelor's degree,27-4032,33,43.9,11,33.2,4.7,"67,250",3,None,4,None,6
"Lighting technicians and media and communication equipment workers, all other",High school diploma or equivalent,27-4098,23.3,27.1,3.8,16.2,2.9,"70,980",7,None,4,Short-term on-the-job training,5
Chiropractors    * Chiropractic Doctor* Chiropractic Physician* Chiropractor,Doctoral or professional degree,29-1011,51.4,57,5.6,10.8,1.8,"70,720",1,None,4,None,6
"Dentists, general    * Family Dentist",Doctoral or professional degree,29-1021,120.3,130,9.8,8.1,4.3,"158,940",1,None,4,None,6
Oral and maxillofacial surgeons    * Dental Surgeon* Maxillofacial Surgeon* Oral Surgeon,Doctoral or professional degree,29-1022,5.2,5.6,0.4,7.7,0.2,">=208,000",1,None,4,Internship/residency,1
Orthodontists    * Dentofacial Orthopedics Dentist* Invisible Braces Orthodontist* Orthodontist* Pediatric Orthodontist,Doctoral or professional degree,29-1023,6.4,6.9,0.5,8.1,0.2,">=208,000",1,None,4,Internship/residency,1
Prosthodontists    * Maxillofacial Prosthetics Dentist* Maxillofacial Prosthodontist* Prosthodontist* Reconstructive Dentist,Doctoral or professional degree,29-1024,0.7,0.7,0.1,8.5,0,">=208,000",1,None,4,Internship/residency,1
"Dentists, all other specialists    * Endodontist* Maxillofacial Pathology* Oral Pathologist* Pediatric Dentist* Pedodontist* Periodontist* Public Health Dentist",Doctoral or professional degree,29-1029,6.8,7.1,0.3,5,0.2,"183,300",1,None,4,Internship/residency,1
Dietitians and nutritionists    * Clinical Dietitian* Dietitian* Nutritionist* Pediatric Dietician* Public Health Dietitian* Public Health Nutritionist* Research Dietitian* Sports Nutritionist* Therapeutic Dietitian,Bachelor's degree,29-1031,73,80.8,7.8,10.7,5.9,"63,090",3,None,4,Internship/residency,1
Optometrists    * Doctor of Optometry* Optometrist,Doctoral or professional degree,29-1041,43.3,47.2,3.9,9,1.7,"118,050",1,None,4,None,6
Pharmacists    * Apothecary* Clinical Pharmacist* Druggist* Hospital Pharmacist* Registered Pharmacist,Doctoral or professional degree,29-1051,322.2,315.3,-7,-2.2,11.3,"128,710",1,None,4,None,6
Physician assistants    * Anesthesiologist Assistant* Certified Physician's Assistant* Family Practice Physician Assistant* Orthopaedic Physician Assistant* Orthopedic Physician Assistant* Pediatric Physician Assistant* Radiology Practitioner Assistant* Surgical Physician Assistant,Master's degree,29-1071,129.4,169.5,40.1,31,12.2,"115,390",2,None,4,None,6
Podiatrists    * Chiropodist* Doctor of Podiatric Medicine* Foot Doctor* Foot Orthopedist* Foot and Ankle Surgeon* Orthopedic Podiatrist* Podiatric Physician,Doctoral or professional degree,29-1081,12.1,12.3,0.2,1.8,0.9,"134,300",1,None,4,Internship/residency,1
Occupational therapists    * OT* Occupational Therapist* Registered Occupational Therapist,Master's degree,29-1122,131.6,154.6,23,17.5,10.1,"86,280",2,None,4,None,6
Physical therapists    * Cardiopulmonary Physical Therapist* Geriatric Physical Therapist* Orthopedic Physical Therapist* PT* Pediatric Physical Therapist* Physical Therapist* Physiotherapist* Pulmonary Physical Therapist* Sports Physical Therapist,Doctoral or professional degree,29-1123,239.2,288.3,49.1,20.5,15.6,"91,010",1,None,4,None,6
Radiation therapists    * Dosimetrist* Radiation Therapist* Radiation Therapy Technologist* Registered Radiation Therapist,Associate's degree,29-1124,17.7,19.3,1.6,9.1,1.1,"86,850",4,None,4,None,6
Recreational therapists    * CTRS* Certified Recreational Therapist* Certified Therapeutic Recreation Specialist* Drama Therapist* Recreational Therapist* Therapeutic Recreation Specialist,Bachelor's degree,29-1125,20.8,23,2.2,10.4,1.9,"47,710",3,None,4,None,6
Respiratory therapists    * CRT* Certified Respiratory Therapist* Inhalation Therapist* Oxygen Therapist* RRT* Registered Respiratory Therapist* Respiratory Therapist,Associate's degree,29-1126,135.1,166.2,31.1,23,10.1,"62,810",4,None,4,None,6
Speech-language pathologists    * Language Pathologist* Public School Speech Clinician* Public School Speech Therapist* Speech Clinician* Speech Pathologist* Speech Therapist* Speech and Language Specialist,Master's degree,29-1127,158.1,203.5,45.4,28.7,15.2,"80,480",2,None,4,Internship/residency,1
Exercise physiologists    * Applied Exercise Physiologist* Clinical Exercise Physiologist* Kinesiotherapist,Bachelor's degree,29-1128,18,20.4,2.4,13.1,1.5,"50,280",3,None,4,None,6
"Therapists, all other    * Art Therapist* Auriculotherapist* Educational Therapist* Hydrotherapist* Music Therapist* Peripatologist",Bachelor's degree,29-1129,28.1,32.3,4.2,14.8,2.4,"57,310",3,None,4,None,6
Veterinarians    * Animal Pathologist* Animal Surgeon* Doctor of Veterinary Medicine* Doctor of Veterinary Medicine (DVM)* Equine Veterinarian* Large Animal Veterinarian* Poultry Pathologist* Public Health Veterinarian* Small Animal Veterinarian* Veterinary Medicine Scientist* Wildlife Veterinarian,Doctoral or professional degree,29-1131,86.8,101.3,14.5,16.8,4.4,"99,250",1,None,4,None,6
Registered nurses    * CCU Nurse* CNS* Clinical Nurse Specialist* Community Health Nurse* Coronary Care Unit Nurse* Emergency Room RN* Endoscopy Registered Nurse* Hospice Registered Nurse* Obstetrical Nurse* Oncology Registered Nurse* PACU Nurse* Pediatric Registered Nurse* Post-Anesthesia Care Unit Nurse* Psychiatric Nurse* RN* Registered Nurse* Triage Registered Nurse,Bachelor's degree,29-1141,"3,080.10","3,356.80",276.8,9,194.5,"75,330",3,None,4,None,6
Nurse anesthetists    * Certified Registered Nurse Anesthetist* Certified Registered Nurse Anesthetist (CRNA)* DNAP* Doctor of Nurse Anesthesia Practice* Nurse Anesthetist,Master's degree,29-1151,44.2,49.8,5.6,12.6,2.9,"183,580",2,None,4,None,6
Nurse midwives    * Certified Nurse Midwife* Certified Nurse Midwife (CNM),Master's degree,29-1161,7.3,8.2,0.8,11.3,0.5,"111,130",2,None,4,None,6
Nurse practitioners    * Acute Care Nurse Practitioner* Adult Nurse Practitioner* Cardiology Nurse Practitioner* Certified Nurse Practitioner* Certified Pediatric Nurse Practitioner* Certified Registered Nurse Practitioner* Dermatology Nurse Practitioner* Electrophysiology Nurse Practitioner* Emergency Medicine Nurse Practitioner* Family Health Nurse Practitioner* Family Practice Nurse Practitioner* Gastroenterology Nurse Practitioner* Gerontological Nurse Practitioner* Internal Medicine Nurse Practitioner* NP* Neurosurgical Nurse Practitioner* Nurse Practitioner* Obstetrics-Gynecology Nurse Practitioner* Orthopedic Nurse Practitioner* Palliative Care Nurse Practitioner* Pediatric Nurse Practitioner* Surgical Nurse Practitioner,Master's degree,29-1171,220.3,335.2,114.9,52.2,26,"111,680",2,None,4,None,6
Audiologists    * Audiologist* Clinical Audiologist* Dispensing Audiologist* Educational Audiologist* Hearing Therapist* Licensed Audiologist* Pediatric Audiologist,Doctoral or professional degree,29-1181,13.7,15.8,2.1,15.7,0.8,"81,030",1,None,4,None,6
Anesthesiologists,Doctoral or professional degree,29-1211,31.3,31.2,-0.2,-0.5,0.8,">=208,000",1,None,4,Internship/residency,1
Family medicine physicians,Doctoral or professional degree,29-1215,107.7,113,5.3,4.9,3.5,"207,380",1,None,4,Internship/residency,1
General internal medicine physicians,Doctoral or professional degree,29-1216,55.5,55.1,-0.4,-0.7,1.5,">=208,000",1,None,4,Internship/residency,1
Obstetricians and gynecologists,Doctoral or professional degree,29-1218,20.7,20.3,-0.4,-2.1,0.5,">=208,000",1,None,4,Internship/residency,1
"Pediatricians, general",Doctoral or professional degree,29-1221,30.2,29.6,-0.5,-1.8,0.8,"177,130",1,None,4,Internship/residency,1
Psychiatrists,Doctoral or professional degree,29-1223,28.1,31.6,3.5,12.5,1.2,">=208,000",1,None,4,Internship/residency,1
"Physicians, all other; and ophthalmologists, except pediatric",Doctoral or professional degree,29-1228,412.1,430.8,18.7,4.5,13.4,">=208,000",1,None,4,Internship/residency,1
"Surgeons, except ophthalmologists",Doctoral or professional degree,29-1248,41.5,40.3,-1.2,-2.8,1,">=208,000",1,None,4,Internship/residency,1
Dental hygienists,Associate's degree,29-1292,206.1,229.2,23.1,11.2,15.6,"77,090",4,None,4,None,6
"Acupuncturists and healthcare diagnosing or treating practitioners, all other",Master's degree,29-1298,55.7,58.3,2.6,4.7,3.6,"82,420",2,None,4,None,6
Clinical laboratory technologists and technicians,Bachelor's degree,29-2010,335.5,372,36.5,10.9,25.9,"54,180",3,None,4,None,6
Cardiovascular technologists and technicians    * Cardiac Catheterization Laboratory Technologist* Cardiac Catheterization Technologist* Cardiac Monitor Technician* Cardiac Technician* Cardiopulmonary Technologist* Cardiovascular Interventional Technologist* Cardiovascular Technologist* EKG Technician* Echocardiogram Technician* Echocardiographer* Echocardiographic Technologist* Echocardiography Technician* Echocardiology Technologist* Electrocardiogram Technician* Electrocardiograph Operator* Pulmonary Function Technologist,Associate's degree,29-2031,58.2,63,4.7,8.1,4.7,"59,100",4,None,4,None,6
Diagnostic medical sonographers    * Cardiac/Vascular Sonographer* Diagnostic Medical Sonographer* Registered Diagnostic Medical Sonographer* Sonographer* Ultrasonographer* Ultrasound Technician* Ultrasound Technologist,Associate's degree,29-2032,75.9,90.3,14.4,19,7.3,"75,920",4,None,4,None,6
Nuclear medicine technologists    * Certified Nuclear Medicine Technologist* Isotope Technologist* Nuclear Cardiology Technologist* Nuclear Medical Technologist* Radioisotope Technologist* Registered Nuclear Medicine Technologist,Associate's degree,29-2033,18.3,19.7,1.4,7.8,1.5,"79,590",4,None,4,None,6
Radiologic technologists and technicians    * Computed Axial Tomography Technologist* Computed Tomography (CT) Scanner Operator* Radiologic Technician* Registered Radiologic Technologist* Skiagrapher* X-Ray Technician,Associate's degree,29-2034,212.1,230.3,18.3,8.6,17.4,"61,900",4,None,4,None,6
Magnetic resonance imaging technologists    * Computed Tomography/Magnetic Resonance Imaging (CT/MRI) Technologist* MRI Technologist,Associate's degree,29-2035,42,45.3,3.4,8.1,3.4,"74,690",4,Less than 5 years,2,None,6
Emergency medical technicians and paramedics,Postsecondary nondegree award,29-2040,261.3,289.9,28.6,11,20.7,"36,650",5,None,4,None,6
Dietetic technicians    * Clinical Dietetic Technician* Cook Chill Technician* DTR* Dietary Aide* Dietary Technician* Dietetic Technician* Nutrition Technician* Registered Diet Technician,Associate's degree,29-2051,26.8,28.8,2,7.4,2.2,"30,110",4,None,4,None,6
Pharmacy technicians    * CPHT* Certified Pharmacy Technician* Pharmacist Technician* Pharmacy Laboratory Technician* Pharmacy Technician,High school diploma or equivalent,29-2052,419.3,435.9,16.6,4,31.7,"35,100",7,None,4,Moderate-term on-the-job training,4
Psychiatric technicians    * Behavioral Health Technician* Mental Health Technician* Psychiatric Technician,Postsecondary nondegree award,29-2053,91.6,103.3,11.7,12.8,8,"35,030",5,Less than 5 years,2,Short-term on-the-job training,5
Surgical technologists    * Certified Surgical Technologist* OR Tech* Operating Room Technician* Surgical First Assistant* Surgical Scrub Technologist* Surgical Technologist,Postsecondary nondegree award,29-2055,109.7,119.2,9.5,8.7,9,"49,710",5,None,4,None,6
Veterinary technologists and technicians    * Certified Veterinary Technician* LVT* Licensed Veterinary Technician* Registered Veterinary Technician* Veterinary Lab Tech* Veterinary Laboratory Technician* Veterinary Surgery Technician* Veterinary Surgery Technologist* Veterinary Technologist* Veterinary X-Ray Operator,Associate's degree,29-2056,114.4,131.5,17.1,14.9,10.4,"36,260",4,None,4,None,6
Ophthalmic medical technicians    * Ocular Care Technologist* Ophthalmic Technologist,Postsecondary nondegree award,29-2057,60.9,69.6,8.7,14.3,5.5,"37,940",5,None,4,None,6
Licensed practical and licensed vocational nurses    * LP Nurse* LPN* LVN* Licensed Practical Nurse* Licensed Vocational Nurse* Pediatric Licensed Practical Nurse* Triage Licensed Practical Nurse,Postsecondary nondegree award,29-2061,688.1,751.9,63.8,9.3,60.7,"48,820",5,None,4,None,6
"Opticians, dispensing    * Certified Optician* Contact Lens Fitter* Eyeglass Fitter* Licensed Dispensing Optician* Licensed Optical Dispenser* Licensed Optician* Optical Dispenser* Optician",High school diploma or equivalent,29-2081,69.8,74.2,4.3,6.2,5.9,"38,530",7,None,4,Long-term on-the-job training,3
Orthotists and prosthetists    * American Board Certified Orthotist* Artificial Limb Fitter* Certified Orthotic Fitter* Certified Prosthetist/Orthotist* Licensed Prosthetist* Orthotic/Prosthetic Practitioner* Orthotist* Pedorthist* Prosthetist,Master's degree,29-2091,10.1,12,1.9,18.4,1,"70,190",2,None,4,Internship/residency,1
Hearing aid specialists    * Hearing Aid Fitter* Hearing Aid Technician* Hearing Instrument Specialist,High school diploma or equivalent,29-2092,8,8.9,0.9,11.3,0.7,"52,630",7,None,4,Moderate-term on-the-job training,4
"Medical dosimetrists, medical records specialists, and health technologists and technicians, all other",Postsecondary nondegree award,29-2098,335,363.6,28.6,8.5,27.4,"44,090",5,None,4,None,6
Athletic trainers    * Athletic Trainer* Certified Athletic Trainer* Clinical Athletic Instructor* Resident Athletic Trainer,Bachelor's degree,29-9091,30,37,7,23.4,3.1,"49,860",3,None,4,None,6
Genetic counselors    * Certified Genetic Counselor* Chromosomal Disorders Counselor* Genetic Counselor* Mitochondrial Disorders Counselor* Prenatal Genetic Counselor,Master's degree,29-9092,2.4,3.1,0.6,26.2,0.3,"85,700",2,None,4,None,6
